#{"t_start": 1778591614.1067333, "env_id": "None"}
r,l,t
-2670.12,1945,2.493459
-2490.28,1945,3.179381
-2249.26,1945,3.863463
-1970.38,1945,4.569734
-1601.28,1945,5.29339
-1334.44,1945,5.99771
-1145.16,1945,6.787515
-902.8,1945,7.513554
-599.34,1945,8.353897
-327.04,1945,9.211237
-121.56,1945,10.05441
-99.3,1945,10.955586
-140.24,1945,11.85458
-127.94,1945,12.726491
-145.94,1945,13.570511
-131.76,1945,14.491533
-115.7,1945,15.312676
-129.46,1945,16.191655
-127.46,1945,17.082045
-155.0,1945,17.940881
-133.84,1945,18.838477
-154.62,1945,19.745481
-146.52,1945,20.736452
-125.84,1945,21.725183
-114.54,1945,22.630735
-108.88,1945,23.525824
-101.24,1945,24.330814
-105.18,1945,25.19092
-133.82,1945,26.115821
-102.16,1945,27.060606
-129.22,1945,27.987381
-115.42,1945,28.89492
-135.7,1945,29.827026
-125.9,1945,30.824346
-142.78,1945,31.691897
-102.92,1945,32.574777
-109.66,1945,33.500013
-144.58,1945,34.516152
-129.52,1945,35.472872
-131.96,1945,36.394384
-135.12,1945,37.257787
-140.36,1945,38.09424
-131.58,1945,38.945842
-126.52,1945,39.861363
-146.22,1945,40.739295
-111.54,1945,41.632272
-145.52,1945,42.476615
-140.54,1945,43.329175
-117.02,1945,44.177464
-121.64,1945,45.044785
-120.1,1945,45.912991
