#{"t_start": 1778591614.9467897, "env_id": "None"}
r,l,t
-2709.44,1945,1.653476
-2509.08,1945,2.339396
-2097.4,1945,3.023477
-1931.34,1945,3.729771
-1575.8,1945,4.453409
-1425.3,1945,5.157746
-1135.2,1945,5.947526
-878.56,1945,6.673568
-575.72,1945,7.513925
-353.96,1945,8.371263
-125.42,1945,9.214434
-104.68,1945,10.115596
-126.0,1945,11.014632
-127.3,1945,11.886516
-126.36,1945,12.73055
-121.68,1945,13.651559
-99.22,1945,14.472703
-116.84,1945,15.351682
-115.8,1945,16.242069
-139.36,1945,17.100905
-131.4,1945,17.998509
-150.22,1945,18.90555
-124.02,1945,19.896812
-131.94,1945,20.885201
-108.32,1945,21.790752
-107.46,1945,22.685844
-111.18,1945,23.490817
-114.92,1945,24.350924
-144.46,1945,25.275842
-91.76,1945,26.220745
-134.34,1945,27.147444
-123.48,1945,28.05494
-160.46,1945,28.987047
-137.78,1945,29.984363
-137.88,1945,30.851915
-107.24,1945,31.734794
-111.34,1945,32.660038
-155.3,1945,33.676186
-105.58,1945,34.632875
-128.04,1945,35.554404
-121.88,1945,36.417792
-139.88,1945,37.254259
-115.46,1945,38.105846
-137.02,1945,39.021384
-148.54,1945,39.899322
-107.2,1945,40.792292
-148.14,1945,41.63662
-150.12,1945,42.489195
-101.62,1945,43.337486
-123.08,1945,44.204804
-89.32,1945,45.07301
